timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
1016972000,1016972000,1310988,-0.0005326322,0.0005326322,0.0031957934,13.195526,0,1
1017972000,1017972000,1310988,-0.00479369,0.002130529,-0.0005326322,13.195801,0,1
1018972000,1018972000,1310988,-0.0031957934,0.0037284256,-0.0005326322,13.196106,0,1
1019972000,1019972000,1310988,0.004261058,0.011185277,-0.0010652645,13.19632,0,1
1020972000,1020972000,1310988,0.0015978967,0.008522116,0.0015978967,13.196655,0,1
1021972000,1021972000,1310988,-0.004261058,0.0010652645,0.0026631611,13.196808,0,1
1022972000,1022972000,1310988,0.006924219,-0.0058589545,0.0005326322,13.196899,0,1
1023972000,1023972000,1310988,0.007456851,-0.0005326322,0.008522116,13.197144,0,1
1024972000,1024972000,1310988,0.0058589545,-0.0015978967,-0.0005326322,13.197205,0,1
1025972000,1025972000,1310988,-0.0010652645,0.0005326322,-0.0015978967,13.197144,0,1
1026972000,1026972000,1310988,0.0010652645,0.0015978967,0.0031957934,13.197052,0,1
1027972000,1027972000,1310988,0.004261058,-0.0010652645,0.0005326322,13.197113,0,1
1028972000,1028972000,1310988,-0.0037284256,0.0026631611,0.0058589545,13.19693,0,1
1029972000,1029972000,1310988,-0.0015978967,-0.0026631611,0.0,13.196838,0,1
1030972000,1030972000,1310988,0.0063915867,0.0058589545,0.0005326322,13.196838,0,1
1031972000,1031972000,1310988,0.0010652645,-0.0015978967,-0.002130529,13.196808,0,1
1032972000,1032972000,1310988,-0.0015978967,-0.0063915867,0.0031957934,13.196625,0,1
1033972000,1033972000,1310988,-0.0031957934,0.0015978967,0.0010652645,13.196533,0,1
1034972000,1034972000,1310988,0.0010652645,0.0031957934,-0.0026631611,13.196533,0,1
1035972000,1035972000,1310988,-0.0031957934,0.0005326322,0.0031957934,13.196533,0,1
1036972000,1036972000,1310988,0.0031957934,0.0031957934,0.006924219,13.196503,0,1
1037972000,1037972000,1310988,-0.0037284256,0.0005326322,-0.004261058,13.196564,0,1
1038972000,1038972000,1310988,0.002130529,0.011717909,0.00479369,13.196716,0,1
1039972000,1039972000,1310988,-0.008522116,0.0010652645,0.0010652645,13.196625,0,1
1040972000,1040972000,1310988,-0.002130529,-0.0031957934,-0.002130529,13.196503,0,1
1041972000,1041972000,1310988,-0.0015978967,-0.002130529,-0.0058589545,13.196564,0,1
1042972000,1042972000,1310988,0.0026631611,0.0005326322,0.0037284256,13.196625,0,1
1043972000,1043972000,1310988,0.0058589545,-0.0026631611,0.0037284256,13.196655,0,1
1044972000,1044972000,1310988,-0.0031957934,-0.0053263223,-0.0005326322,13.196808,0,1
1045972000,1045972000,1310988,-0.007456851,0.007456851,0.0010652645,13.197113,0,1
1046972000,1046972000,1310988,-0.0015978967,0.002130529,0.0005326322,13.197113,0,1
1047972000,1047972000,1310988,-0.002130529,-0.0063915867,0.0063915867,13.196991,0,1
